finding_id,attack_class,severity,status,file,line,symbol,description,evidence,next_attack
RT-135,Initialization replay,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,19,initialize,Public instruction `initialize` is an externally reachable attack surface.,pub fn initialize(...),"Call twice; call out of order; race two transactions; supply alternate PDA, wrong authority, wrong linked accounts."
RT-136,Initialization replay,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,23,initialize_protocol_config,Public instruction `initialize_protocol_config` is an externally reachable attack surface.,pub fn initialize_protocol_config(...),"Call twice; call out of order; race two transactions; supply alternate PDA, wrong authority, wrong linked accounts."
RT-137,Initialization replay,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,27,initialize_founder,Public instruction `initialize_founder` is an externally reachable attack surface.,pub fn initialize_founder(...),"Call twice; call out of order; race two transactions; supply alternate PDA, wrong authority, wrong linked accounts."
RT-138,Initialization replay,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,36,initialize_company,Public instruction `initialize_company` is an externally reachable attack surface.,pub fn initialize_company(...),"Call twice; call out of order; race two transactions; supply alternate PDA, wrong authority, wrong linked accounts."
RT-139,Initialization replay,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,45,initialize_treasury,Public instruction `initialize_treasury` is an externally reachable attack surface.,pub fn initialize_treasury(...),"Call twice; call out of order; race two transactions; supply alternate PDA, wrong authority, wrong linked accounts."
RT-140,Initialization replay,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,49,initialize_execution_config,Public instruction `initialize_execution_config` is an externally reachable attack surface.,pub fn initialize_execution_config(...),"Call twice; call out of order; race two transactions; supply alternate PDA, wrong authority, wrong linked accounts."
RT-142,Accounting corruption,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,57,process_fees,Public instruction `process_fees` is an externally reachable attack surface.,pub fn process_fees(...),Corrupt every bucket independently; overflow totals; repeat processing; manipulate timestamps and caps.
RT-143,Treasury release theft,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,61,authorize_reserve_execution,Public instruction `authorize_reserve_execution` is an externally reachable attack surface.,pub fn authorize_reserve_execution(...),"Supply fake destinations, duplicate accounts, wrong mint, wrong vault, corrupt accounting, paused state, excessive release."
RT-144,Treasury release theft,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,65,authorize_buyback_execution,Public instruction `authorize_buyback_execution` is an externally reachable attack surface.,pub fn authorize_buyback_execution(...),"Supply fake destinations, duplicate accounts, wrong mint, wrong vault, corrupt accounting, paused state, excessive release."
RT-145,Treasury release theft,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,69,authorize_liquidity_execution,Public instruction `authorize_liquidity_execution` is an externally reachable attack surface.,pub fn authorize_liquidity_execution(...),"Supply fake destinations, duplicate accounts, wrong mint, wrong vault, corrupt accounting, paused state, excessive release."
RT-146,Treasury release theft,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,73,authorize_founder_execution,Public instruction `authorize_founder_execution` is an externally reachable attack surface.,pub fn authorize_founder_execution(...),"Supply fake destinations, duplicate accounts, wrong mint, wrong vault, corrupt accounting, paused state, excessive release."
RT-147,Treasury release theft,CRITICAL,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,77,authorize_company_execution,Public instruction `authorize_company_execution` is an externally reachable attack surface.,pub fn authorize_company_execution(...),"Supply fake destinations, duplicate accounts, wrong mint, wrong vault, corrupt accounting, paused state, excessive release."
RT-141,Deposit substitution,HIGH,PLANNED — ADVERSARIAL TEST,programs/treasury-router/src/lib.rs,53,deposit_settlement,Public instruction `deposit_settlement` is an externally reachable attack surface.,pub fn deposit_settlement(...),"Supply wrong mint, wrong owner, wrong source authority, fake vault, zero amount, maximum amount."
RT-001,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/constants.rs,4,unchecked minus,Potential unchecked arithmetic expression detected.,/// On-chain Beavernomics configuration PDA.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-002,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/constants.rs,5,unchecked minus,Potential unchecked arithmetic expression detected.,"pub const PROTOCOL_CONFIG_SEED: &[u8] = b""protocol-config"";","Test maximum values, zero values, rounding, and overflow behavior."
RT-003,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/constants.rs,10,unchecked minus,Potential unchecked arithmetic expression detected.,/// Treasury SPL settlement-token vault PDA.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-004,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/constants.rs,11,unchecked minus,Potential unchecked arithmetic expression detected.,"pub const TREASURY_VAULT_SEED: &[u8] = b""treasury-vault"";","Test maximum values, zero values, rounding, and overflow behavior."
RT-005,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/constants.rs,14,unchecked minus,Potential unchecked arithmetic expression detected.,"pub const FOUNDER_STATE_SEED: &[u8] = b""founder-state"";","Test maximum values, zero values, rounding, and overflow behavior."
RT-006,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/constants.rs,17,unchecked minus,Potential unchecked arithmetic expression detected.,"pub const COMPANY_STATE_SEED: &[u8] = b""company-state"";","Test maximum values, zero values, rounding, and overflow behavior."
RT-007,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/constants.rs,20,unchecked minus,Potential unchecked arithmetic expression detected.,"pub const EXECUTION_CONFIG_SEED: &[u8] = b""execution-config"";","Test maximum values, zero values, rounding, and overflow behavior."
RT-008,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/constants.rs,22,unchecked minus,Potential unchecked arithmetic expression detected.,/// Current on-chain state versions.,"Test maximum values, zero values, rounding, and overflow behavior."
